Sample	sequence_duplication_levels	adapter_content	Sequence length	Sequences flagged as poor quality	avg_sequence_length	kmer_content	Filename	Total Sequences	per_sequence_quality_scores	per_tile_sequence_quality	per_base_sequence_content	sequence_length_distribution	total_deduplicated_percentage	per_base_sequence_quality	%GC	per_base_n_content	per_sequence_gc_content	basic_statistics	overrepresented_sequences	File type	Encoding
Sample_PRO1322_PlateB_E9_R1_val_1	fail	pass	100-126	0.0	124.94982424151968	fail	Sample_PRO1322_PlateB_E9_R1_val_1.fq.gz	13748412.0	pass	pass	fail	warn	40.708868730942164	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_E9_R2_val_2	fail	pass	100-126	0.0	125.02708618275332	fail	Sample_PRO1322_PlateB_E9_R2_val_2.fq.gz	13748412.0	pass	pass	fail	warn	40.52088270202044	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F10_R1_val_1	fail	pass	100-126	0.0	125.07179171156507	fail	Sample_PRO1322_PlateB_F10_R1_val_1.fq.gz	12980231.0	pass	pass	fail	warn	29.14250043560982	fail	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F10_R2_val_2	fail	pass	100-126	0.0	125.12030217335885	fail	Sample_PRO1322_PlateB_F10_R2_val_2.fq.gz	12980231.0	pass	pass	fail	warn	27.915227154402317	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F11_R1_val_1	fail	pass	100-126	0.0	125.028642485843	fail	Sample_PRO1322_PlateB_F11_R1_val_1.fq.gz	17873309.0	pass	pass	fail	warn	33.74779821124471	pass	36.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F11_R2_val_2	fail	pass	100-126	0.0	125.03166928966539	fail	Sample_PRO1322_PlateB_F11_R2_val_2.fq.gz	17873309.0	pass	pass	fail	warn	33.915014485820784	pass	36.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F12_R1_val_1	fail	pass	100-126	0.0	125.24862320592977	fail	Sample_PRO1322_PlateB_F12_R1_val_1.fq.gz	18641132.0	pass	pass	fail	warn	22.871727055696343	pass	34.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F12_R2_val_2	fail	pass	100-126	0.0	125.16610783079054	fail	Sample_PRO1322_PlateB_F12_R2_val_2.fq.gz	18641132.0	pass	pass	fail	warn	23.682807323933453	pass	34.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F1_R1_val_1	fail	pass	100-126	0.0	125.14699920448724	fail	Sample_PRO1322_PlateB_F1_R1_val_1.fq.gz	10231137.0	pass	pass	fail	warn	33.50477536925601	pass	34.0	pass	pass	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F1_R2_val_2	fail	pass	100-126	0.0	125.17825760714571	fail	Sample_PRO1322_PlateB_F1_R2_val_2.fq.gz	10231137.0	pass	pass	fail	warn	31.92461846065547	pass	34.0	pass	pass	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F2_R1_val_1	fail	pass	100-126	0.0	125.15893786480822	fail	Sample_PRO1322_PlateB_F2_R1_val_1.fq.gz	13919471.0	pass	pass	fail	warn	14.982990739730337	fail	37.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F2_R2_val_2	fail	pass	100-126	0.0	125.18826340455036	fail	Sample_PRO1322_PlateB_F2_R2_val_2.fq.gz	13919471.0	pass	pass	fail	warn	14.83111155226498	pass	37.0	pass	fail	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F3_R1_val_1	fail	pass	100-126	0.0	124.92864658175819	warn	Sample_PRO1322_PlateB_F3_R1_val_1.fq.gz	1221315.0	pass	pass	fail	warn	43.30184909317081	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F3_R2_val_2	fail	pass	100-126	0.0	124.90905622218673	warn	Sample_PRO1322_PlateB_F3_R2_val_2.fq.gz	1221315.0	pass	pass	fail	warn	43.80875653104977	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F4_R1_val_1	fail	pass	100-126	0.0	125.07876295099548	fail	Sample_PRO1322_PlateB_F4_R1_val_1.fq.gz	10450548.0	pass	pass	fail	warn	24.46545228064595	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F4_R2_val_2	fail	pass	100-126	0.0	125.06672520905124	fail	Sample_PRO1322_PlateB_F4_R2_val_2.fq.gz	10450548.0	pass	pass	fail	warn	24.36600763076515	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F5_R1_val_1	fail	pass	100-126	0.0	124.94186770868237	fail	Sample_PRO1322_PlateB_F5_R1_val_1.fq.gz	17271141.0	pass	pass	fail	warn	18.5023192170436	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F5_R2_val_2	fail	pass	100-126	0.0	124.96440958938382	fail	Sample_PRO1322_PlateB_F5_R2_val_2.fq.gz	17271141.0	pass	pass	fail	warn	18.755418048410814	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F6_R1_val_1	fail	pass	100-126	0.0	125.01583443404375	fail	Sample_PRO1322_PlateB_F6_R1_val_1.fq.gz	12977982.0	pass	pass	fail	warn	24.214070321198513	fail	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F6_R2_val_2	fail	pass	100-126	0.0	125.11970559059182	fail	Sample_PRO1322_PlateB_F6_R2_val_2.fq.gz	12977982.0	pass	pass	fail	warn	23.179381142077716	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F7_R1_val_1	fail	pass	100-126	0.0	125.08693470231876	fail	Sample_PRO1322_PlateB_F7_R1_val_1.fq.gz	11629050.0	pass	pass	fail	warn	24.288987199610794	pass	36.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F7_R2_val_2	fail	pass	100-126	0.0	125.14341782002829	fail	Sample_PRO1322_PlateB_F7_R2_val_2.fq.gz	11629050.0	pass	pass	fail	warn	23.308236244706812	pass	36.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F8_R1_val_1	fail	pass	100-126	0.0	125.15722513934041	fail	Sample_PRO1322_PlateB_F8_R1_val_1.fq.gz	14473188.0	pass	pass	fail	warn	30.036917141900986	pass	36.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F8_R2_val_2	fail	pass	100-126	0.0	125.16943896534751	fail	Sample_PRO1322_PlateB_F8_R2_val_2.fq.gz	14473188.0	pass	pass	fail	warn	29.839471776645727	pass	36.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F9_R1_val_1	fail	pass	100-126	0.0	125.00795406690293	fail	Sample_PRO1322_PlateB_F9_R1_val_1.fq.gz	16104466.0	pass	pass	fail	warn	35.78382721900547	pass	32.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_F9_R2_val_2	fail	pass	100-126	0.0	125.05289725222805	fail	Sample_PRO1322_PlateB_F9_R2_val_2.fq.gz	16104466.0	pass	pass	fail	warn	35.87702174937158	pass	32.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G10_R1_val_1	fail	pass	100-126	0.0	125.08808574504576	fail	Sample_PRO1322_PlateB_G10_R1_val_1.fq.gz	12341611.0	pass	pass	fail	warn	20.501529554372954	fail	33.0	pass	warn	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G10_R2_val_2	fail	pass	100-126	0.0	125.16304791975699	fail	Sample_PRO1322_PlateB_G10_R2_val_2.fq.gz	12341611.0	pass	pass	fail	warn	19.14069961731774	pass	33.0	pass	warn	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G11_R1_val_1	fail	pass	100-126	0.0	125.09821310447074	fail	Sample_PRO1322_PlateB_G11_R1_val_1.fq.gz	14731751.0	pass	pass	fail	warn	34.249889797428004	fail	34.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G11_R2_val_2	fail	pass	100-126	0.0	125.19199598201192	fail	Sample_PRO1322_PlateB_G11_R2_val_2.fq.gz	14731751.0	pass	pass	fail	warn	33.21730539395368	pass	34.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G12_R1_val_1	fail	pass	100-126	0.0	125.08170678836345	fail	Sample_PRO1322_PlateB_G12_R1_val_1.fq.gz	14206237.0	pass	pass	fail	warn	24.278440393494666	fail	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G12_R2_val_2	fail	pass	100-126	0.0	125.19095422665411	fail	Sample_PRO1322_PlateB_G12_R2_val_2.fq.gz	14206237.0	pass	pass	fail	warn	23.559924487767834	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G2_R1_val_1	pass	pass	122.0	0.0	122.0	pass	Sample_PRO1322_PlateB_G2_R1_val_1.fq.gz	1.0	pass		fail	pass	100.0	pass	31.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G2_R2_val_2	pass	pass	125.0	0.0	125.0	pass	Sample_PRO1322_PlateB_G2_R2_val_2.fq.gz	1.0	pass		fail	pass	100.0	pass	40.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G3_R1_val_1	pass	pass	100-126	0.0	124.98667850799289	pass	Sample_PRO1322_PlateB_G3_R1_val_1.fq.gz	2252.0	pass	fail	fail	warn	93.25044404973357	fail	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G3_R2_val_2	pass	pass	100-126	0.0	124.97557726465364	pass	Sample_PRO1322_PlateB_G3_R2_val_2.fq.gz	2252.0	pass	fail	fail	warn	92.93960923623446	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G4_R1_val_1	fail	pass	100-126	0.0	125.23241732578448	fail	Sample_PRO1322_PlateB_G4_R1_val_1.fq.gz	12980861.0	pass	pass	fail	warn	4.885540046413265	pass	37.0	pass	fail	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G4_R2_val_2	fail	pass	100-126	0.0	125.21932397242371	fail	Sample_PRO1322_PlateB_G4_R2_val_2.fq.gz	12980861.0	pass	pass	fail	warn	5.325403078367552	pass	37.0	pass	fail	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G6_R1_val_1	fail	pass	100-126	0.0	125.04635240404363	fail	Sample_PRO1322_PlateB_G6_R1_val_1.fq.gz	14305148.0	pass	pass	fail	warn	25.17131788024059	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G6_R2_val_2	fail	pass	100-126	0.0	125.06208058805124	fail	Sample_PRO1322_PlateB_G6_R2_val_2.fq.gz	14305148.0	pass	pass	fail	warn	25.033256337245184	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G7_R1_val_1	fail	pass	100-126	0.0	125.00922259223228	fail	Sample_PRO1322_PlateB_G7_R1_val_1.fq.gz	10629441.0	pass	pass	fail	warn	25.056489117382746	pass	35.0	pass	warn	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G7_R2_val_2	fail	pass	100-126	0.0	125.0807283280466	fail	Sample_PRO1322_PlateB_G7_R2_val_2.fq.gz	10629441.0	pass	pass	fail	warn	24.329644006972995	pass	35.0	pass	warn	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G8_R1_val_1	fail	pass	100-126	0.0	125.13126497683716	fail	Sample_PRO1322_PlateB_G8_R1_val_1.fq.gz	12967107.0	pass	pass	fail	warn	44.5480116872829	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G8_R2_val_2	fail	pass	100-126	0.0	125.21757875523045	fail	Sample_PRO1322_PlateB_G8_R2_val_2.fq.gz	12967107.0	pass	pass	fail	warn	43.78124407296146	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G9_R1_val_1	fail	pass	100-126	0.0	125.17802243176811	fail	Sample_PRO1322_PlateB_G9_R1_val_1.fq.gz	16928670.0	pass	pass	fail	warn	38.16711614245759	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_G9_R2_val_2	fail	pass	100-126	0.0	125.09874343347705	fail	Sample_PRO1322_PlateB_G9_R2_val_2.fq.gz	16928670.0	pass	pass	fail	warn	39.04850495292144	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H10_R1_val_1	fail	pass	100-126	0.0	125.23046435102209	fail	Sample_PRO1322_PlateB_H10_R1_val_1.fq.gz	25532387.0	pass	pass	fail	warn	13.746198908541002	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H10_R2_val_2	fail	pass	100-126	0.0	125.15675792474867	fail	Sample_PRO1322_PlateB_H10_R2_val_2.fq.gz	25532387.0	pass	pass	fail	warn	14.317436043061468	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H11_R1_val_1	pass	pass	100-126	0.0	125.20256041688941	warn	Sample_PRO1322_PlateB_H11_R1_val_1.fq.gz	252537.0	pass	pass	fail	warn	78.63977404684314	pass	35.0	pass	warn	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H11_R2_val_2	pass	pass	100-126	0.0	125.14649338512773	warn	Sample_PRO1322_PlateB_H11_R2_val_2.fq.gz	252537.0	pass	pass	fail	warn	78.99973466373298	pass	35.0	pass	warn	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H1_R1_val_1	fail	pass	100-126	0.0	125.23389843836298	fail	Sample_PRO1322_PlateB_H1_R1_val_1.fq.gz	10682380.0	pass	pass	fail	warn	34.177300476546115	pass	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H1_R2_val_2	fail	pass	100-126	0.0	125.25589709409326	fail	Sample_PRO1322_PlateB_H1_R2_val_2.fq.gz	10682380.0	pass	pass	fail	warn	33.1910866878821	pass	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H2_R1_val_1	fail	pass	100-126	0.0	125.23150469696873	fail	Sample_PRO1322_PlateB_H2_R1_val_1.fq.gz	14097390.0	pass	pass	fail	warn	22.21117493211472	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H2_R2_val_2	fail	pass	100-126	0.0	125.23099353852025	fail	Sample_PRO1322_PlateB_H2_R2_val_2.fq.gz	14097390.0	pass	pass	fail	warn	22.4028145722511	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H5_R1_val_1	fail	pass	100-126	0.0	125.0924512021898	fail	Sample_PRO1322_PlateB_H5_R1_val_1.fq.gz	11987167.0	pass	pass	fail	warn	32.46613080643363	pass	32.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H5_R2_val_2	fail	pass	100-126	0.0	125.12363596836516	fail	Sample_PRO1322_PlateB_H5_R2_val_2.fq.gz	11987167.0	pass	pass	fail	warn	32.13863264774629	pass	32.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H6_R1_val_1	pass	pass	100-126	0.0	124.96614512948337	warn	Sample_PRO1322_PlateB_H6_R1_val_1.fq.gz	99897.0	pass	pass	fail	warn	87.85449012482857	fail	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H6_R2_val_2	pass	pass	100-126	0.0	125.13030421333974	warn	Sample_PRO1322_PlateB_H6_R2_val_2.fq.gz	99897.0	pass	pass	fail	warn	86.74935183238736	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H7_R1_val_1	fail	pass	100-126	0.0	124.8306117017046	fail	Sample_PRO1322_PlateB_H7_R1_val_1.fq.gz	7040752.0	pass	pass	fail	warn	25.212789235995754	pass	35.0	pass	warn	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H7_R2_val_2	fail	pass	100-126	0.0	124.91937466338823	fail	Sample_PRO1322_PlateB_H7_R2_val_2.fq.gz	7040752.0	pass	pass	fail	warn	24.626293807982094	pass	35.0	pass	warn	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H8_R1_val_1	pass	pass	100-126	0.0	124.90069758915566	warn	Sample_PRO1322_PlateB_H8_R1_val_1.fq.gz	201838.0	pass	pass	fail	warn	86.69057220650983	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H8_R2_val_2	pass	pass	100-126	0.0	124.87814980330761	warn	Sample_PRO1322_PlateB_H8_R2_val_2.fq.gz	201838.0	pass	pass	fail	warn	86.8547727986122	pass	34.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H9_R1_val_1	pass	pass	100-126	0.0	125.12105432107572	warn	Sample_PRO1322_PlateB_H9_R1_val_1.fq.gz	336444.0	pass	pass	fail	warn	86.26802602808154	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_H9_R2_val_2	pass	pass	100-126	0.0	125.19253427019058	warn	Sample_PRO1322_PlateB_H9_R2_val_2.fq.gz	336444.0	pass	pass	fail	warn	86.4006509382271	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
